AVG,Seconds,Milliseconds
,0.0001674,0.1674
05:31:31,0.0026069,
05:31:33,0.0025763,
05:31:35,0.0026461,
05:31:37,0.0025765,
05:31:39,0.0025991,
05:31:41,0.0027393,
05:31:43,0.0040034,
05:31:45,0.0026853,
05:31:47,0.0027405,
05:31:49,0.0027366,
05:31:51,0.0028015,
05:31:53,0.0028208,
05:31:55,0.0046419,
05:31:57,0.0028315,
05:31:59,0.0027998,
05:32:01,0.0027885,
05:32:03,0.0028522,
05:32:05,0.0029212,
05:32:07,0.0028670,
05:32:09,0.0028751,
05:32:11,0.0029997,
05:32:13,0.0030022,
05:32:15,0.0029600,
05:32:17,0.0029924,
05:32:19,0.0030522,
05:32:21,0.0030672,
05:32:23,0.0030518,
05:32:25,0.0030579,
05:32:27,0.0030891,
05:32:29,0.0031445,
05:32:31,0.0031873,
05:32:33,0.0031586,
05:32:35,0.0032057,
05:32:37,0.0031403,
05:32:39,0.0032393,
05:32:41,0.0032206,
05:32:43,0.0032498,
05:32:45,0.0032988,
05:32:47,0.0032831,
05:32:49,0.0032927,
05:32:51,0.0033475,
05:32:53,0.0033557,
05:32:55,0.0033989,
05:32:57,0.0033785,
05:32:59,0.0033507,
05:33:01,0.0034284,
05:33:03,0.0034024,
05:33:05,0.0035543,
05:33:07,0.0034956,
05:33:09,0.0034902,
05:33:11,0.0034924,
05:33:13,0.0035644,
05:33:15,0.0036306,
05:33:17,0.0035617,
05:33:19,0.0036091,
05:33:21,0.0035897,
05:33:23,0.0036443,
05:33:26,0.0036303,
05:33:28,0.0036261,
05:33:30,0.0036840,
05:33:32,0.0036821,
05:33:34,0.0037087,
05:33:36,0.0037260,
05:33:38,0.0037709,
05:33:40,0.0038124,
05:33:42,0.0037400,
05:33:44,0.0038416,
05:33:46,0.0038575,
05:33:48,0.0038571,
05:33:50,0.0038958,
05:33:52,0.0038659,
05:33:54,0.0039339,
05:33:56,0.0039583,
05:33:58,0.0039729,
05:34:00,0.0040042,
05:34:02,0.0039919,
05:34:04,0.0040213,
05:34:06,0.0040374,
05:34:08,0.0041003,
05:34:10,0.0037825,
05:34:12,0.0033924,
05:34:14,0.0030694,
05:34:16,0.0027512,
05:34:18,0.0025679,
05:34:20,0.0026111,
05:34:22,0.0021894,
05:34:24,0.0020298,
05:34:26,0.0019310,
05:34:28,0.0018472,
05:34:30,0.0017124,
05:34:32,0.0016302,
05:34:34,0.0015584,
05:34:36,0.0015125,
05:34:38,0.0014807,
05:34:40,0.0013449,
05:34:42,0.0013912,
05:34:44,0.0013451,
05:34:46,0.0013192,
05:34:48,0.0013284,
05:34:50,0.0013208,
05:34:52,0.0012144,
05:34:54,0.0012239,
05:34:56,0.0012123,
05:34:58,0.0012387,
05:35:00,0.0012269,
05:35:02,0.0012773,
05:35:04,0.0012232,
05:35:06,0.0043124,
05:35:08,0.0012342,
05:35:10,0.0012265,
05:35:12,0.0012420,
05:35:14,0.0010761,
05:35:16,0.0010227,
05:35:18,0.0009334,
05:35:20,0.0007366,
05:35:22,0.0006994,
05:35:24,0.0006590,
05:35:26,0.0006863,
05:35:28,0.0005286,
05:35:30,0.0004638,
05:35:32,0.0005469,
05:35:35,0.0004908,
05:35:37,0.0004467,
05:35:39,0.0005309,
05:35:41,0.0003580,
05:35:43,0.0004000,
05:35:45,0.0002907,
05:35:47,0.0004355,
05:35:49,0.0004124,
05:35:51,0.0003237,
05:35:53,0.0003818,
05:35:55,0.0003463,
05:35:57,0.0003214,
05:35:59,0.0003163,
05:36:01,0.0003620,
05:36:03,0.0003416,
05:36:05,0.0003530,
05:36:07,0.0003613,
05:36:09,0.0004017,
05:36:11,0.0003486,
05:36:13,0.0004103,
05:36:15,0.0005277,
05:36:17,0.0003941,
05:36:19,0.0003969,
05:36:21,0.0004248,
05:36:23,0.0003936,
05:36:25,0.0004814,
05:36:27,0.0004343,
05:36:29,0.0004717,
05:36:31,0.0005634,
05:36:33,0.0004833,
05:36:35,0.0005166,
05:36:37,0.0005160,
05:36:39,0.0005494,
05:36:41,0.0005591,
05:36:43,0.0005836,
05:36:45,0.0006325,
05:36:47,0.0006110,
05:36:49,0.0006421,
05:36:51,0.0006492,
05:36:53,0.0005977,
05:36:55,0.0010222,
05:36:57,0.0006382,
05:36:59,0.0007409,
05:37:01,0.0007663,
05:37:03,0.0006308,
05:37:05,0.0007422,
05:37:07,0.0007507,
05:37:09,0.0007358,
05:37:11,0.0004658,
05:37:13,0.0006543,
05:37:15,0.0008074,
05:37:17,0.0007831,
05:37:19,0.0006374,
05:37:21,0.0008330,
05:37:23,0.0008075,
05:37:25,0.0007705,
05:37:27,0.0007610,
05:37:29,0.0007117,
05:37:31,0.0008593,
05:37:33,0.0008397,
05:37:35,0.0007604,
05:37:37,0.0009157,
05:37:39,0.0008895,
05:37:41,-0.0001303,
05:37:44,0.0008883,
05:37:46,0.0009783,
05:37:48,0.0009495,
05:37:50,0.0008977,
05:37:52,0.0006174,
05:37:54,0.0007841,
05:37:56,0.0009982,
05:37:58,0.0010431,
05:38:00,0.0016975,
05:38:02,0.0010453,
05:38:04,0.0010461,
05:38:06,0.0008212,
05:38:08,0.0010724,
05:38:10,0.0010202,
05:38:12,0.0009450,
05:38:14,0.0010752,
05:38:16,0.0010142,
05:38:18,0.0010816,
05:38:20,0.0011114,
05:38:22,0.0010712,
05:38:24,0.0010482,
05:38:26,0.0010697,
05:38:28,0.0008039,
05:38:30,0.0009936,
05:38:32,0.0010987,
05:38:34,0.0011022,
05:38:36,0.0010801,
05:38:38,0.0011470,
05:38:40,0.0012019,
05:38:42,0.0010906,
05:38:44,0.0012585,
05:38:46,0.0012274,
05:38:48,0.0011847,
05:38:50,0.0011143,
05:38:52,0.0011617,
05:38:54,0.0012928,
05:38:56,0.0012204,
05:38:58,0.0012551,
05:39:00,0.0012506,
05:39:02,0.0011946,
05:39:04,0.0012009,
05:39:06,0.0012556,
05:39:08,0.0012521,
05:39:10,0.0013300,
05:39:12,0.0012639,
05:39:14,0.0013030,
05:39:16,0.0014621,
05:39:18, error: 0x80072733,
05:39:20,0.0013547,
05:39:22,0.0013448,
05:39:24,0.0013893,
05:39:26,0.0013835,
05:39:28,0.0014624,
05:39:30,0.0014842,
05:39:32,0.0014126,
05:39:34,0.0014940,
05:39:36,0.0014409,
05:39:38,0.0014608,
05:39:40,0.0014332,
05:39:42,0.0015797,
05:39:44,0.0015038,
05:39:46,0.0012588,
05:39:48,0.0015658,
05:39:50,0.0015199,
05:39:53,0.0013579,
05:39:55,0.0015047,
05:39:57,0.0015355,
05:39:59,0.0015054,
05:40:01,0.0013929,
05:40:03,0.0016191,
05:40:05,0.0016082,
05:40:07,0.0015794,
05:40:09,0.0016769,
05:40:11,0.0015645,
05:40:13,0.0015768,
05:40:15,0.0016681,
05:40:17,0.0016059,
05:40:19,0.0016497,
05:40:21,0.0016289,
05:40:23,0.0016392,
05:40:25,0.0016815,
05:40:27,0.0016138,
05:40:29,0.0016599,
05:40:31,0.0016743,
05:40:33,0.0016599,
05:40:35,0.0016973,
05:40:37,0.0016971,
05:40:39,0.0016821,
05:40:41,0.0016814,
05:40:43,0.0017446,
05:40:45,0.0018329,
05:40:47,0.0017835,
05:40:49,0.0017527,
05:40:51,0.0042973,
05:40:53,0.0018019,
05:40:55,0.0017954,
05:40:57,0.0018475,
05:40:59,0.0018152,
05:41:01,0.0026231,
05:41:03,0.0018653,
05:41:05,0.0018784,
05:41:07,-0.0028029,
05:41:09,0.0018704,
05:41:11,0.0012734,
05:41:13,0.0019292,
05:41:15,0.0018714,
05:41:17,0.0020043,
05:41:19,0.0019628,
05:41:21,0.0019573,
05:41:23,0.0020564,
05:41:25,0.0020626,
05:41:27,0.0019436,
05:41:29,0.0020090,
05:41:31,0.0020044,
05:41:33,0.0020079,
05:41:35,0.0019619,
05:41:37,0.0019669,
05:41:39,0.0018492,
05:41:41,0.0017710,
05:41:43,0.0016916,
05:41:45,0.0016109,
05:41:47,0.0015378,
05:41:49,0.0014974,
05:41:51,0.0014164,
05:41:53,0.0014254,
05:41:55,0.0014021,
05:41:57,0.0013677,
05:41:59,0.0012496,
05:42:02,0.0012533,
05:42:04,0.0012872,
05:42:06,0.0012306,
05:42:08,0.0013383,
05:42:10,0.0012842,
05:42:12,0.0012433,
05:42:14,0.0012080,
05:42:16,0.0012285,
05:42:18,0.0014287,
05:42:20,0.0012835,
05:42:22,0.0012429,
05:42:24,0.0012623,
05:42:26,0.0011893,
05:42:28,0.0012144,
05:42:30,0.0012268,
05:42:32,0.0012208,
05:42:34,0.0012327,
05:42:36,0.0012766,
05:42:38,0.0012508,
05:42:40,0.0013163,
05:42:42,0.0013265,
05:42:44,0.0013077,
05:42:46,0.0013960,
05:42:48,0.0035798,
05:42:50,0.0013038,
05:42:52,0.0013046,
05:42:54,0.0013179,
05:42:56,0.0013072,
05:42:58,0.0012879,
05:43:00,0.0014197,
05:43:02,0.0013146,
